,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
42,42 Coin,Scrypt,PoW/PoS,41.99995243,42
404,404Coin,Scrypt,PoW/PoS,1273829.5187937,532000000
1337,EliteCoin,X13,PoW/PoS,29481931808.4066,314159265359
BTCD,BitcoinDark,SHA-256,PoW/PoS,1288862,22000000
XPY,PayCoin,SHA-256,PoS,11995334.8847328,12500000
PRC,ProsperCoin,Scrypt,PoW,6268245,21000000
KOBO,KoboCoin,X15,PoW/PoS,25596456.165208,350000000
ARG,Argentum,Scrypt,PoW,13832935.4449549,64000000
BLU,BlueCoin,Scrypt,PoW/PoS,647272520,0
XMY,MyriadCoin,Multiple,PoW,1747693250,2000000000
MOON,MoonCoin,Scrypt,PoW,88,384000000000
ZET,ZetaCoin,SHA-256,PoW,172413222.754849,169795588
SXC,SexCoin,Scrypt,PoW,128940951.183046,250000000
QTL,Quatloo,Scrypt,PoW,7357794.7925,100000000
ENRG,EnergyCoin,Scrypt,PoW/PoS,124135245.600067,0
QRK,QuarkCoin,Quark,PoW,266135934.03002,247000000
RIC,Riecoin,Groestl,PoW,55031660.1411861,84000000
DGC,Digitalcoin ,Scrypt,PoW,36033918.3440364,48166000
BTB,BitBar,Scrypt,PoW/PoS,47290.482425,500000
CAT,Catcoin,Scrypt,PoW,7219956.64626131,21000000 
CBX,CryptoBullion,Scrypt,PoW/PoS,1059533.3266535,1000000
CCN,CannaCoin,Scrypt,PoW,4704239.59407949,13140000
CRYPT,CryptCoin,X11,PoW,5009969.21271335,18000000
DMD,Diamond,Groestl,PoW/PoS,3520375.15056263,4380000
DVC,DevCoin,SHA-256,PoW,21551562500,21000000000
EAC,EarthCoin,Scrypt,PoW,12738117854.7268,13500000000
EFL,E-Gulden,Scrypt,PoW,20962730.8570311,21000000 
EMD,Emerald,Scrypt,PoW,19650293.61025,32000000
EXCL,Exclusive Coin,PoS,PoS,5851627,0
FLT,FlutterCoin,Scrypt,PoS/PoW/PoT,461829905.32893,0
FRK,Franko,Scrypt,PoW,1423483.64912776,11235813
GDC,GrandCoin,Scrypt,PoW,884125802,1420609614
GLC,GlobalCoin,Scrypt,PoW,65672720.4708748,70000000
GLD,GoldCoin,Scrypt,PoW,41658647.9999715,72245700
HBN,HoboNickels,Scrypt,PoW/PoS,108941829.170155,120000000
HYP,HyperStake,X11,PoS,1679489617.8343,0
IFC,Infinite Coin,Scrypt,PoW,90595753018.6314,90600000000
IXC,IXcoin,SHA-256,PoW,21134369,21000000
KGC,KrugerCoin,Scrypt,PoW,151447649.8,265420800
LKY,LuckyCoin,Scrypt,PoW,19326319.14375,20000000
LTB,Litebar ,Scrypt,PoW,1263831.53391035,1350000
MAX,MaxCoin,SHA3,PoW/PoS,61445805,100000000
MED,MediterraneanCoin,HybridScryptHash256,PoW,40431856.9,200000000
MINT,MintCoin,Scrypt,PoS,21293925445.4969,0
MZC,MazaCoin,SHA-256,PoW/PoS,1758172599.99999,2419200000
NAUT,Nautilus Coin,Scrypt,PoS,16180000,16180000
NOBL,NobleCoin,Scrypt,PoW,2369662699.03431,15000000000
NYAN,NyanCoin,Scrypt,PoW,337897053.920638,337000000
ORB,Orbitcoin,NeoScrypt,PoW/PoS,3220616.279225,3770000
PXC,PhoenixCoin,Scrypt,PoW/PoS,73959274.625,98000000
RPC,RonPaulCoin,Scrypt,PoW,1136472.42169891,21000000
SBC,StableCoin,Scrypt,PoW,24215181.725,250000000
SMC,SmartCoin,Scrypt,PoW,29065043.4594405,51200000
SUPER,SuperCoin,X11,PoS,52767346.6690968,0
SYNC,SyncCoin,X11,PoW/PoS,1177,1000
TES,TeslaCoin,Multiple,PoS,82612575.272028,100000000
TGC,TigerCoin,SHA-256,PoW,43536800,47011968
TOR,TorCoin,X11,PoW/PoS,1431851.00002479,10000000
TRC,TerraCoin,SHA-256,PoW,22935396,42000000
UNB,UnbreakableCoin,SHA-256,PoW,2278150,80000000
UNO,Unobtanium,SHA-256,PoW,202656.65151896,250000
URO,UroCoin,X11,PoW,1207310,0
USDE,UnitaryStatus Dollar,Scrypt,PoW/PoS,1098952592.6,1600000000
UTC,UltraCoin,Scrypt,PoW/PoS,50235211.141939,100000000
VRC,VeriCoin,Scrypt,PoST,33057325.3898767,0
WDC,WorldCoin,Scrypt,PoW,119606941,265420800
XC,X11 Coin,X11,PoW/PoS,7479027.61671804,5500000
XCR,Crypti,Multiple,PoS,100000000,0
XJO,JouleCoin,SHA-256,PoW,40470815.362088,45000000
XST,StealthCoin,X13,PoW/PoS,36928446.0817489,0
ZCC,ZCC Coin,Scrypt,PoW/PoS,174374718.286634,1000000000
SJCX,StorjCoin,Counterparty,PoS,51173144,500000000
MONA,MonaCoin,Scrypt,PoW,68194674.8711679,105120000
NTRN,Neutron,SHA-256,PoW/PoS,39121694,68000000
RBY,RubyCoin,Scrypt,PoS,27600426.3918338,0
PTC,PesetaCoin,Scrypt,PoW,137517654.41397,166386000
KORE,Kore,X13,PoW/PoS,2022464.886973,12000000
WBB,Wild Beast Coin,Scrypt,PoW,181919.2435974,2628000
NOTE,Dnotes,Scrypt,PoS,359676545.720386,500000000
FLO,Flo,Scrypt,PoW,155545718.345694,160000000
8BIT,8BIT Coin,Scrypt,PoW/PoS,1467841,0
STV,Sativa Coin,X13,PoW/PoS,7096834,10000000
J,JoinCoin,Multiple,PoW,3407392.5,2800000
ABY,ArtByte,Scrypt,PoW,792537250,1000000000
LDOGE,LiteDoge,Scrypt,PoW/PoS,16422580992.334,35000000000
TRI,Triangles Coin,X13,PoW/PoS,158061.047046,120000
FLDC,Folding Coin,Stanford Folding,PoW,719416990,1000000000
SLR,SolarCoin,Scrypt,PoW,60775782.910202,98100000000
TRK,TruckCoin,X11,PoW/PoS,242574105.22384,0
U,Ucoin,X11,PoS,2689812,20000000
UIS,Unitus,Multiple,PoW,65113302,0
CYP,CypherPunkCoin,QuBit,PoW,6365285,0
UFO,UFO Coin,NeoScrypt,PoW,3916345821,4000000000
OC,OrangeCoin,Scrypt,PoW/PoS,3537150,200000000
FSC,FriendshipCoin,NeoScrypt,PoW/PoS,1120385.00502,60168145
BLC,BlakeCoin,Blake,PoW,27368066.3905779,7000000000
OMC,OmniCron,Scrypt,PoW,10140044.4430293,3371337
BITS,BitstarCoin,Scrypt,PoW/PoS,21145102,54256119
NEOS,NeosCoin,SHA-256,PoS,4392258.24647793,21000000
HYPER,HyperCoin,Scrypt,PoW/PoS,9631199.99309942,0
VTR,Vtorrent,Scrypt,PoW/PoS,11604722,20000000
PINK,PinkCoin,X11,PoW/PoS,446312399.484367,500000000
GRE,GreenCoin,Scrypt,PoW,4610340640.89,10000000000
XCN,Cryptonite,M7 POW,PoW,708506520,1840000000
XBC,BitcoinPlus,Scrypt,PoS,146477.10577387,1000000
MSC,MasterCoin,Scrypt,PoW,619478,619478
SOON,SoonCoin,SHA-256,PoW,12462620,21000000
1CR,1Credit,Scrypt,PoW,88213,92000000000
ISL,IslaCoin,X11,PoW/PoS,1513704,0
CESC,Crypto Escudo,Scrypt,PoW,785558280,1000000000
ADC,AudioCoin,Scrypt,PoW/PoS,980732528.97974,10500000000
MARS,MarsCoin ,X11,PoW,32221574.820996,33000000
CTO,Crypto,Lyra2RE,PoW,13742738,65789100
ACP,Anarchists Prime,SHA-256,PoW,14747200.0002,53760000
DRZ,Droidz,QUAIT,PoW/PoS,8568782.18599603,5060000
BSC,BowsCoin,X11,PoW,15863837.5,21000000
NKA,IncaKoin,SHA-256,PoW/PoS,17939725045.334,190000000
SQL,Squall Coin,X11,PoS/PoW,329200.01639,0
PIGGY,Piggy Coin,X11,PoW/PoS,495286535.484964,1000000000
SONG,Song Coin,Scrypt,PoW,32565300,210240000
SMLY,SmileyCoin,Scrypt,PoW,31311309218.9213,50000000000
ZNY,BitZeny,Scrypt,PoW,75614500,250000000
DIGS,Diggits,Scrypt,PoS,100000000,100000000
MI,XiaoMiCoin,Scrypt,PoW/PoS,404316475.545465,400000000
CON,Paycon,X13,PoW/PoS,23042604,50000000
CPC,CapriCoin,X11,PoW/PoS,201396820.177501,208000000
CLUB, ClubCoin,Scrypt,PoW/PoS,103621876.167052,160000000
RADS,Radium,PoS,PoS,4118622.65905127,9000000
EGC,EverGreenCoin,X15,PoW/PoS,13530556.4180753,26298000
MND,MindCoin,X11,PoW,15867695,16000000
I0C,I0coin,SHA-256,PoW,20999114.5022478,21000000
PAK,Pakcoin,Scrypt,PoW,72142355.0187002,182000000
CRB,Creditbit ,X11,Proof of Trust,16901016.6609755,16504333
OK,OKCash,SHA-256,PoW/PoS,76556398.0100258,105000000
RVR,Revolution VR,Scrypt,PoW,210000000,210000000
HODL,HOdlcoin,1GB AES Pattern Search,PoW,11448949,81962100
EDRC,EDRCoin,SHA-256,PoW/PoS,3669691.84494672,22000000
HTC,Hitcoin,X11,PoW/PoS,10996318099,26550000000
DBIC,DubaiCoin,SHA-256,PoW/PoS,5129014,10500000
XHI,HiCoin,Scrypt,PoS,10000244677.7002,10008835635
DIEM,CarpeDiemCoin,SHA-256,PoW,21739971929,21626280000 
PWR,PWR Coin,NIST5,PoW/PoS,10198433384.2095,0
BLRY,BillaryCoin,Scrypt,PoW/PoS,8998743.2411911,42000000
INFX,Influxcoin,X11,PoW/PoS,3064384.9840933,12000000
GAP,Gapcoin,Scrypt,PoW/PoS,16179103.4443225,250000000
SOIL,SoilCoin,Dagger,PoW,5702048,30000000
YOC,YoCoin,Scrypt,PoW,636462.55983338,168351300
ERC,EuropeCoin,X11,PoW/PoS,10642557.1339562,384000000
ZEIT,ZeitCoin,Scrypt,PoS,36971254968.9687, 99000000000
SWING,SwingCoin,SHA-256,PoW/PoS,4748396.03250144,40000000
NEBU,Nebuchadnezzar,PoS,PoS,20000000,20000000
FRN,Francs,Scrypt,PoW,6570807.65677618,20000000
BOLI,BolivarCoin,X11,PoW,14729082.4987998,25000000
XRA,Ratecoin,X11,PoW/PoS,134554941.15119,75000000
CKC,Clockcoin,SHA-256,PoW/PoS,16662820,525000000
LIR,Let it Ride,POS 3.0,PoS,38589808.6658096,33500000
IBANK,iBankCoin,Scrypt,PoW/PoS,4526324,44333333
FRWC,Frankywillcoin,Scrypt,PoW/PoS,100000000,100000000
LC,Lutetium Coin,X11,PoS,657000000,657000000
GB,GoldBlocks,X11,PoW/PoS,15563873,50000000
CTC,CarterCoin,Scrypt,PoW/PoS,43165500,90000000
KRB,Karbo,CryptoNight,PoW,8683976.51087318,10000000
BXT,BitTokens,SHA-256,PoW/PoS,595429,21000000
ZYD,ZayedCoin,SHA-256,PoW,6243840,9736000
MST,MustangCoin,X11,PoW/PoS,659958.01399921,3000000
ZNE,ZoneCoin,Scrypt,PoW/PoS,2581970,21000000
COVAL,Circuits of Value,Multiple,PoW,1000000000,1200000000
ROOT,RootCoin,Scrypt,PoW/PoS,1939889,0
DOPE,DopeCoin,Scrypt,PoW,116845228,200000000
BTCR,BitCurrency,Scrypt,PoS,169598616,0
DLC,DollarCoin,SHA-256,PoW,9106714,10638298
SCN,Swiscoin,Scrypt,PoW/PoW,665200057,3100000000
SH,Shilling,Scrypt,PoW,11119200,30000000
BUZZ,BuzzCoin,SHA-256D,PoW/PoS,19577787259,20000000000
XPO,Opair,PoS,PoS,74033806.7949683,74000000
PSB,PesoBit,Scrypt,PoW/PoS,33522957,0
HALLO,Halloween Coin,X11,PoW/PoS,264678458.288619,1500000000
CFC,CoffeeCoin,PoS,PoS,148716816,39999898
ROYAL,RoyalCoin,X13,PoS,2500124,2500124
GNJ,GanjaCoin V2,X14,PoW/PoS,100000000,100000000
TEAM,TeamUP,PoS,PoS,17818682.1654,301000000
ELE,Elementrem,Ethash,PoW,26205539,26205539
ZCL,ZClassic,Equihash,PoW,5613550,21000000
INSANE,InsaneCoin,X11,PoW/PoS,18342813,30000000
KLC,KiloCoin,Scrypt,PoW,196297971,10000000000
ATX,ArtexCoin,X11,PoW,824000000,500000000
EMB,EmberCoin,X13,PoW/PoS,92192822723,850000000
XEN,XenixCoin,X11,PoW/PoS,3853326.77707314,3853326.77707314
FRE,FreeCoin,PoS,PoS,50000000,50000000
PLNC,PLNCoin,Scrypt,PoW/PoS,17089600,38540000 
ARCO,AquariusCoin,Scrypt,PoW/PoS,3053486.95513589,42000000
KURT,Kurrent,X11,PoW,61364813,228000000
XCRE,Creatio,PoS,PoS,20000000,20000000
ENT,Eternity,X11,PoW/PoS,8678395.73603215,60000000
EUC,Eurocoin,SHA-256,PoW/PoS,12416554,20000000
BCF,BitcoinFast,Scrypt,PoW/PoS,25077036.921161,33000000
XSN,Stakenet,X11,TPoS,75590369,76500000
BCCOIN,BitConnect Coin,Scrypt,PoW/PoS,11182532.4687051,28000000
MONEY,MoneyCoin,Scrypt,PoW/PoS,10914418,650659833
XNG,Enigma,X11,PoW/PoS,814671,5000000
XCI,Cannabis Industry Coin,CryptoNight,PoW,978145,21000000
RC,Russiacoin,Scrypt,PoW/PoS,8377873,144000000
PND,PandaCoin,Scrypt,PoS,34024995946.1819,32514916898
UNITS,GameUnits,Scrypt,PoW/PoS,3472983,13000000
GAKH,GAKHcoin,Scrypt,PoW/PoS,3315789,3315789
LTCR,LiteCreed,QuBit,PoW/PoS,30227750,78835200
OS76,OsmiumCoin,Scrypt,PoW,894026,2714286
BIC,Bikercoins,CryptoNight,PoW,9357088,25000000
HXX,HexxCoin,Lyra2RE,PoW,1876146.443596,9999999
KED,Klingon Empire Darsek,Scrypt,PoW/PoS,23965372,500000000
IOP,Internet of People,SHA-256,PoW/PoS,2526078.47525448,21000000
KUSH,KushCoin,X11,PoW/PoS,5659096.95728771,9354000
PRX,Printerium,Scrypt,PoW/PoS,11821728,20000000
IMPCH,Impeach,Scrypt,PoW/PoS,308179,21933333
CTL,Citadel,CryptoNight-V7,PoW,10969318.522954,185000000
ZBC,Zilbercoin,Scrypt,PoS,3012675.06499088,55000000
FRST,FirstCoin,Scrypt,PoW/PoS ,110000000,110000000
BVC,BeaverCoin,Scrypt,PoW,3115258,3360000
FIND,FindCoin,X13,PoS,14524851.4827,14524851.4827
VLTC,VaultCoin,X11,PoW,30385540,1000000000
ZER,Zero,Equihash,PoW,8375704.10817661,17000000
CHAT,OpenChat,Scrypt,PoW/PoS,1000000000,1000000000
CDN,Canada eCoin,Scrypt,PoW,99882378.4165203,100000000 
ZOI,Zoin,Lyra2RE,PoW,18545757.5,21000000
RNS,RenosCoin,Scrypt,PoS,36050365,34426423
DBIX,DubaiCoin,Dagger-Hashimoto,PoW,2232901,2232901
XVP,VirtacoinPlus,X11,PoW/PoS,14045490.5020139,100000000
TAJ,TajCoin,Blake2S,PoW/PoS,18068629.7753028,36900000
IMX,Impact,X11,PoW/PoS,110630387.850471,110000000
EB3,EB3coin,Scrypt,PoW,64096052,4000000000
ATMOS,Atmos,PoS,PoS,111193477.889,110290030
HPC,HappyCoin,X11,PoW/PoS,26291858.2313134,100000000
CXT,Coinonat,NIST5,PoW,10123200,48252000
MCRN,MacronCoin,PoS,PoS,401421401,400000000
RAIN,Condensate,X11,PoW/PoS,121665451.643876,500000000
IMS,Independent Money System,Scrypt,PoW/PoS,5368934,21212121
ARGUS,ArgusCoin,Scrypt,PoW/PoS,1148324,28600000
LMC,LomoCoin,Scrypt,PoW/PoS,500000,1000000000
PROC,ProCurrency,SHA-256,PoS,100545745,75000000000
XGR,GoldReserve,X11,PoW/PoS,17171382,40000000
BENJI,BenjiRolls,Scrypt,PoW,20276099.146524,35520400
DUO,ParallelCoin,Scrypt,PoW,314719,1000000
GRW,GrowthCoin,Scrypt,PoS,486270376.1424,2000000000
ILC,ILCoin,SHA-256,PoW,1620622500,2500000000
PHR,Phreak,PoS,PoS,11390225.9742772,30000000
DEA,Degas Coin,Scrypt,PoW/PoS,21358764,105000000
HTML5,HTML5 Coin,X15,PoW/PoS,40659020000,90000000000
USC,Ultimate Secure Cash,SHA-256,PoS,10343113,200084200
EQT,EquiTrader,Scrypt,PoW,14700756.2381591,72000000
INSN,Insane Coin,X11,PoW/PoS,24736521.8207514,30000000
ESP,Espers,536,PoW/PoS,22801882871,50000000000
DYN,Dynamic,Argon2d,PoW,15092250.6591967,0
CHAN,ChanCoin,Cloverhash,PoW,21638094.2246151,30000000
DCY,Dinastycoin,CryptoNight,PoW,1809467143,2000000000
DP,DigitalPrice,X11,PoW,38954100,100000000
VUC,Virta Unique Coin,NIST5,PoW/PoS,62942075,120000000
BTPL,Bitcoin Planet,Skein,PoW/PoS,6804362,100000000
UNIFY,Unify,Scrypt,PoW,18133195,19276800
BRIT,BritCoin,X13,PoW/PoS,21268092,30000000
SOCC,SocialCoin,Scrypt,PoW,5167775, 75000000
ARC,ArcticCoin,X11,PoW,28670292.1863773,60000000
DAS,DAS,X11,PoW,2622886,18900000
LINDA,Metrix,Scrypt,PoS,9044930943.24243,50000000000
RCC,Reality Clash,Ethash,PoW,24487944.0958204,24487944
XLC,LeviarCoin,CryptoNight,PoW,14161803,54000000
ONION,DeepOnion,X13,PoW/PoS,22305289.5001126,18898187.6216583
BTX,Bitcore,Time Travel,PoW,18393941.7230478,21000000
GCN,gCn Coin,Scrypt,PoW,163055097500,200000000000
SIGT,Signatum,SkunkHash v2 Raptor,PoS,107972766,137500000
ONX,Onix,X11,PoW,125070163.010567,1100000000
CRM,Cream,Skein,PoW/PoS,48884008.3174666,100000000
XMCC,Monoeci,X11,PoW/PoS,12570934.7452197,9507271
DFT,Draftcoin,Scrypt,PoS,19423685.9230312,17405891.19707116
SOJ,Sojourn Coin,Scrypt,PoW,485214,10500000000
OXY,Oxycoin,DPoS,DPoS,1122382283.37,0
KRONE,Kronecoin,Scrypt,PoW,23576399.4224601,84000000
ACC,AdCoin,Scrypt,PoW,33387655.1782171,100000000
ETHD,Ethereum Dark,Scrypt,PoW/PoS,4200000,4200000
REC,Regalcoin,X11,PoW/PoS,7262402.04264803,27000000
BTCZ,BitcoinZ,Equihash,PoW,7804810200.46409,21000000000
TZC,TrezarCoin,NeoScrypt,PoW/PoS,233096600,400000000
ELM,Elements,X11,PoW,2702855668.85288,1800000000
TER,TerraNovaCoin,Scrypt,PoW/PoS,1140734.91680375,15733333
VIVO,VIVO Coin,NeoScrypt,PoW,4165967.57499639,27000000
RUP,Rupee,Lyra2REv2,PoS,24000000,24000000
NAMO,NamoCoin,NIST5,PoW/PoS,560563220,1200000000
LUX,LUXCoin,PHI1612,PoW/PoS,10738285.9808141,60000000
BTDX,Bitcloud 2.0,Quark,PoW/PoS,34347605.1019896,200000000
BLHC,BlackholeCoin,Scrypt,PoW/PoS,16362544.992,14788275.991
INN,Innova,NeoScrypt,PoW,6375259.04,45000000
ZEPH,Zeph,SHA-256,DPoS,1999999995.3056,2000000000
MAG,Magnet,X11,PoW/PoS,38198594.8342105,144000000
TAU,Lamden Tau,DPoS,DPoS,288090567.493887,500000000
XSH,SHIELD,Multiple,PoW,481730566.566176,660000000
CNBC,Cash & Back Coin,Scrypt,PoW/PoS,110976977.29338,210000000
XUN,UltraNote,CryptoNight,PoW,418541,85000000000
GLT,GlobalToken,SHA-256,PoW,111099749.999995,168000000
BWK,Bulwark,NIST5,PoS,13247178.8807286,27716121
KLKS,Kalkulus,Quark,PoS,18631824.1268781,20000000
AC3,AC3,X11,PoW,80316207,550000000
LTHN,Lethean,CryptoNight-V7,PoW,441250233.377,999481516
GER,GermanCoin,Scrypt,PoW/PoS,4911500269.41,50000000000
LTCU,LiteCoin Ultra,Scrypt,PoW/PoS,8419402.321,150000000
POP,PopularCoin,Scrypt,PoW,4123129832.63626,4999999999
PHO,Photon,BLAKE256,PoW,35689414215.8384, 90000000000
SUCR,Sucre,X11,PoW,4229040.50393462,19800000
SPK,SparksPay,NeoScrypt,PoW,8245085.33355824,21000000
WAGE,Digiwage,Quark,PoS,27299680,120000000
GUN,GunCoin,NeoScrypt,PoW,315627778,500000000
IRL,IrishCoin,Scrypt,PoW,52718249.3398182,64000000
TROLL,Trollcoin,Scrypt,PoW/PoS,601416107,900000000
LCP,Litecoin Plus,Scrypt,PoW/PoS,2872328.38064,4000000
PCOIN,Pioneer Coin,X11,PoW,9615020.72869947,23000000
UBTC,UnitedBitcoin,SHA-256,PoW,20166000,20166000
ITZ,Interzone,C11,PoW,12651496.7792101,23000000
TPAY,TokenPay,POS 3.0,PoS,21514134.5477393,25000000
MCT,1717 Masonic Commemorative Token,Ethash,PoS,1618033,1618033
TRTL,TurtleCoin,CryptoNight,PoW,82516726337.53,1000000000000
MUN,MUNcoin,SkunkHash,PoW,4818338.98949984,16600000
SSS,ShareChain,Scrypt,PoW,10000000000,10000000000
KREDS,KREDS,Lyra2REv2,PoW,8051584.93548416,1100000000
TOKC,Tokyo Coin,X13,PoS,230298925,800000000
BBP,BiblePay,Proof-of-BibleHash,POBh,2531092892.01707,5200000000
LCC,LitecoinCash,SHA-256 + Hive,PoW + Hive,689247824.958494,840000000
FLIP,BitFlip,Scrypt,PoW,12446100.00278,40000000
ALX,ALAX,DPoS,DPoS,1000000000,1000000000
LOT,LottoCoin,Scrypt,PoW,14491014421,18406979840
CIF,Crypto Improvement Fund,X11,PoW,211297638.500483,500000000
SPD,Stipend,C11,PoW/PoS,11521189.2846649,19340594
PUSHI,Pushi,X11,PoW/PoS,2167827.1,25000000
ELP,Ellerium,XEVAN,PoW/PoS,419275.38,60000000
VLX,Velox,Scrypt,PoS,25570013.1348022,124000000
CLO,Callisto Network,Ethash,PoW,247612453,6500000000
TUBE,BitTube,CryptoNight,PoW,80049082.9057215,1000000000
PSD,Poseidon,Scrypt,PoW,4070212.1493016,21000000
ADK,Aidos Kuneen,IMesh,PoW,25000000,25000000
BSX,Bitspace,NIST5,PoW/PoS,13984940.8046531,50000000
BRIA,Briacoin,Scrypt,PoW/PoS,845637.81347436,3000000
IC,Ignition,Scrypt,PoW/PoS,1342142.05,5000000
MEDIC,MedicCoin,Scrypt,PoS,267297676.3125,500000000
ALPS,Alpenschillling,Lyra2Z,PoW,27340501.6514783,300000000
ABJ,Abjcoin,Scrypt,PoW/PoS,9880502.37178894,30000000
FTO,FuturoCoin,X11,PoW,31801461.1867843,100000000
XMC,Monero Classic,CryptoNight,PoW,16016864,18400000
PROTON,Proton,X16R,PoS,4403800,45000000
